dispatch_ts,street,xstreet1,xstreet2,lon,lat
2023-08-24 18:33:37,CAMBRIDGE ST,,,-71.06566715918989,42.36112224200132
2023-05-16 12:07:07,,,,-71.05851973212272,42.36694154078833
2023-12-30 08:07:06,BOYLSTON ST,,,-71.07410149118355,42.350966232368926
2023-08-19 16:06:41,SHANDON RD,,,-71.08913995778728,42.29511133471358
2023-06-14 11:17:16,ADAMS ST,,,-71.06263048201069,42.30743311509816
2023-11-23 17:24:39,CHESTERTON ST,,,-71.07044759464875,42.330313441773754
2023-09-12 18:21:37,CENTER PLZ,,,-71.06013224984667,42.35983445834738
2023-05-26 12:57:20,,,,-71.13019940715564,42.35273665382231
2023-01-31 12:45:31,,,,-71.0890957622328,42.35006295890982
2023-05-01 13:53:46,,,,-71.10705897036482,42.33327829920892
2023-06-25 02:06:15,WALNUT AVE,,,-71.09731494711943,42.312020107057535
2023-09-21 23:55:41,,,,-71.15784406477921,42.33953968354667
2023-10-01 23:15:54,METROPOLITAN AVE,,,-71.1222849940534,42.271497438588355
2023-06-24 16:22:01,,,,-71.03929007079122,42.3839838035472
2023-10-06 11:44:54,,,,-71.08832505044597,42.32236493512272
2023-07-09 03:41:35,,,,-71.0781328268161,42.35171705268001
2023-11-10 21:48:55,,,,-71.088641463287,42.34915419274428
2023-11-17 12:21:06,,,,-71.10026881221391,42.35077738777686
2023-06-30 21:37:13,,,,-71.09497083279676,42.348810517094634
2023-12-21 21:48:55,,,,-71.06553747033136,42.34863241429081
2023-08-22 23:27:22,HOMES AVE,,,-71.06623523636692,42.303579836967366
2023-10-24 16:01:48,COMMONWEALTH AVE,,,-71.11528811108806,42.35094503125057
2023-08-30 08:51:18,SUMMER ST,,,-71.0588247205227,42.35424564286206
2023-06-09 22:36:10,OLNEY ST,,,-71.06920315189424,42.30540139666723
2023-10-02 22:07:04,,,,-71.06333124981911,42.36408144393382
2023-09-21 13:28:44,ATKINSON ST,,,-71.06827397563993,42.33314642600374
2023-04-06 22:12:29,,,,-71.08769089364783,42.32619436843795
2023-02-24 20:20:28,,,,-71.06798157413824,42.33169814526776
2023-08-16 13:02:45,,,,-71.10492078189199,42.31810225224249
2023-03-26 20:30:31,,,,-71.08378752457489,42.35298416195821
2023-07-07 00:17:48,MASSACHUSETTS AVE,,,-71.08618821585601,42.34413429544672
2023-06-30 23:10:21,TURTLE POND PKWY,,,-71.13693790974459,42.24726363710054
2023-06-13 22:25:03,,,,-71.07870803857966,42.352870994003595
2023-07-29 18:29:22,,,,-71.09715182524712,42.34880344290092
2023-10-14 22:43:48,WARREN ST,,,-71.08328650678628,42.32964683917707
2023-02-15 21:19:43,IMBARO RD,,,-71.13592088450461,42.24434714698998
2023-09-14 10:54:48,,,,-71.1153442680057,42.309870104627265
2023-03-15 18:47:33,D ST,,,-71.0489335087402,42.34043149265245
2023-08-18 22:37:22,,,,-71.05131954652289,42.293616518153435
2023-10-20 18:46:02,MILK ST,,,-71.0582240908298,42.35676828846944
